Account_ID,True_Label,Risk_Score,Alert
6557,0,0,NORMAL
8972,0,0,NORMAL
5690,0,0,NORMAL
3327,0,0,NORMAL
3495,0,0,NORMAL
8135,0,0,NORMAL
2349,0,0,NORMAL
6015,0,0,NORMAL
3389,0,0,NORMAL
8782,0,0,NORMAL
5088,0,0,NORMAL
2047,0,0,NORMAL
4455,0,0,NORMAL
8594,0,0,NORMAL
6877,0,0,NORMAL
8308,0,0,NORMAL
6966,0,0,NORMAL
4282,0,0,NORMAL
7577,0,0,NORMAL
1976,0,0,NORMAL
6733,0,0,NORMAL
2190,0,0,NORMAL
164,0,0,NORMAL
4792,0,0,NORMAL
4670,0,0,NORMAL
1555,0,0,NORMAL
3415,0,0,NORMAL
7761,0,0,NORMAL
1841,0,0,NORMAL
8870,0,0,NORMAL
7459,0,0,NORMAL
860,0,0,NORMAL
8010,0,0,NORMAL
3663,0,7,NORMAL
2175,0,0,NORMAL
1387,0,0,NORMAL
5975,0,0,NORMAL
6402,0,0,NORMAL
7239,0,1,NORMAL
3594,0,3,NORMAL
3843,0,0,NORMAL
7586,0,0,NORMAL
6737,0,0,NORMAL
2538,0,2,NORMAL
1256,0,0,NORMAL
6016,0,1,NORMAL
1247,0,0,NORMAL
454,0,0,NORMAL
6042,0,0,NORMAL
4843,0,0,NORMAL
5084,0,0,NORMAL
5855,0,0,NORMAL
8297,0,0,NORMAL
7687,0,0,NORMAL
5280,0,0,NORMAL
9073,1,999,CRITICAL
338,0,0,NORMAL
7311,0,0,NORMAL
7418,0,0,NORMAL
4611,0,0,NORMAL
5750,0,0,NORMAL
4820,0,0,NORMAL
4064,0,0,NORMAL
4430,0,0,NORMAL
5919,0,0,NORMAL
7658,0,0,NORMAL
3762,0,0,NORMAL
5073,0,0,NORMAL
8082,0,0,NORMAL
53,0,0,NORMAL
603,0,1,NORMAL
1640,0,0,NORMAL
3344,0,0,NORMAL
1686,0,0,NORMAL
1663,0,0,NORMAL
5053,0,0,NORMAL
1262,0,0,NORMAL
8370,0,0,NORMAL
2203,0,1,NORMAL
4973,0,0,NORMAL
3147,0,0,NORMAL
992,0,0,NORMAL
951,0,0,NORMAL
7737,0,0,NORMAL
8702,0,0,NORMAL
5139,0,0,NORMAL
4164,0,2,NORMAL
4642,0,0,NORMAL
6229,0,0,NORMAL
515,0,0,NORMAL
2506,0,0,NORMAL
8692,0,0,NORMAL
6541,0,0,NORMAL
2454,0,0,NORMAL
7314,0,0,NORMAL
1724,0,0,NORMAL
1120,0,0,NORMAL
3472,0,0,NORMAL
9035,1,999,CRITICAL
1887,0,0,NORMAL
3747,0,0,NORMAL
5892,0,0,NORMAL
4521,0,0,NORMAL
4688,0,1,NORMAL
6971,0,0,NORMAL
4360,0,2,NORMAL
3170,0,0,NORMAL
8953,0,0,NORMAL
7355,0,0,NORMAL
8504,0,0,NORMAL
7287,0,0,NORMAL
6241,0,0,NORMAL
8360,0,0,NORMAL
